hip,proper,bayer,ra,dec,mag,con
40023,,Psi,8.174218,25.507334,5.73,Cnc
40058,,,8.183024,14.629474,6.22,Cnc
40085,,,8.187944,9.82123,6.08,Cnc
40167,Tegmine,Zet-2,8.203535,17.647771,4.67,Cnc
40231,,,8.216592,16.51432,6.03,Cnc
40240,,,8.21913,29.656536,5.62,Cnc
40342,,,8.236428,17.675955,6.47,Cnc
40354,,,8.239165,13.048296,6.39,Cnc
40526,Tarf,Bet,8.275256,9.185545,3.53,Cnc
40617,,,8.292125,8.86631,6.28,Cnc
40675,,,8.304006,15.67792,6.42,Cnc
40843,,Chi,8.334406,27.217707,5.13,Cnc
40866,,,8.339158,20.747721,5.8,Cnc
40881,Piautos,Lam,8.34226,24.022314,5.92,Cnc
41117,,,8.3894,18.3322,5.94,Cnc
41163,,,8.39867,10.632063,6.11,Cnc
41319,,,8.430523,17.046267,6.11,Cnc
41325,,,8.43188,7.564506,5.13,Cnc
41377,,Phi-1,8.44103,27.893583,5.58,Cnc
41400,,,8.445539,12.654612,5.56,Cnc
41404,,Phi-2,8.446408,26.935489,6.3,Cnc
41574,,,8.476884,24.144934,6.05,Cnc
41578,,,8.477039,14.210822,5.94,Cnc
41816,,Ups-1,8.525145,24.081105,5.71,Cnc
